url,title
http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,A Flight of Arrows (The Pathfinders #2)
http://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,Tracing Numbers on a Train
http://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)"
http://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,Tuesday Nights in 1980
http://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,A Court of Thorns and Roses (A Court of Thorns and Roses #1)
http://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,You Are What You Love: The Spiritual Power of Habit
http://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,(Un)Qualified: How God Uses Broken People to Do Big Things
http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,The Wedding Dress
http://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History
http://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,Thirteen Reasons Why
http://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”
http://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,Throne of Glass (Throne of Glass #1)
http://books.toscrape.com/catalogue/the-stranger_861/index.html,The Stranger
http://books.toscrape.com/catalogue/the-vacationers_863/index.html,The Vacationers
http://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,The Third Wave: An Entrepreneur’s Vision of the Future
http://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,The Regional Office Is Under Attack!
http://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,The Power of Now: A Guide to Spiritual Enlightenment
http://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,The Psychopath Test: A Journey Through the Madness Industry
http://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,The Shadow Hero (The Shadow Hero)
http://books.toscrape.com/catalogue/the-project_856/index.html,The Project
http://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,The Secret (The Secret #1)
http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,The Murder of Roger Ackroyd (Hercule Poirot #4)
http://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,The Matchmaker's Playbook (Wingmen Inc. #1)
http://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking
http://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,The Long Shadow of Small Ghosts: Murder and Memory in an American City
http://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,The Omnivore's Dilemma: A Natural History of Four Meals
http://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us
http://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,The Mistake (Off-Campus #2)
http://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,The Glittering Court (The Glittering Court #1)
http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,The House by the Lake
http://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,The Girl on the Train
http://books.toscrape.com/catalogue/the-genius-of-birds_843/index.html,The Genius of Birds
